"Loading...","Loading..."
"Products grid/list Infinite Scroll","Products grid/list InfiniteScroll"
"Save Infinite Scroll History","Save Infinite Scroll History"
"Enable AJAX Navigation and Sorting","Enable AJAX Navigation and Sorting"
